EventID,Time_UTC,Lat,Lon,Depth_km,MagType,Mag,Region
20260608_0000130,2026-06-08T06:07:08.0Z,4.84,125.92,123.0,m,4.3,KEPULAUAN SANGIHE, INDONESIA
20260608_0000179,2026-06-08T06:08:03.207Z,5.3206,125.3375,35.0,mb,4.7,MINDANAO, PHILIPPINES
20260608_0000134,2026-06-08T06:14:20.0Z,5.56,125.34,10.0,m,4.0,MINDANAO, PHILIPPINES
20260608_0000136,2026-06-08T06:21:56.3Z,4.857,125.3868,55.0,mb,5.3,KEPULAUAN SANGIHE, INDONESIA
20260608_0000142,2026-06-08T06:28:01.44Z,5.3316,125.6965,70.3,mb,4.5,MINDANAO, PHILIPPINES
20260608_0000141,2026-06-08T06:33:03.0Z,5.18,125.67,10.0,m,3.7,MINDANAO, PHILIPPINES
20260608_0000145,2026-06-08T06:47:49.0Z,5.16,124.99,29.0,m,4.2,MINDANAO, PHILIPPINES
20260608_0000151,2026-06-08T07:00:07.79Z,5.4599,125.0857,57.0,mb,5.0,MINDANAO, PHILIPPINES
20260608_0000157,2026-06-08T07:07:34.0Z,5.41,125.08,17.0,m,3.2,MINDANAO, PHILIPPINES
20260608_0000156,2026-06-08T07:10:38.0Z,5.23,125.97,151.0,m,3.8,MINDANAO, PHILIPPINES
20260608_0000164,2026-06-08T07:15:38.756Z,4.8317,124.5997,35.0,mb,4.6,CELEBES SEA
20260608_0000163,2026-06-08T07:23:34.0Z,5.84,125.2,10.0,m,3.6,MINDANAO, PHILIPPINES
20260608_0000173,2026-06-08T07:39:39.0Z,5.76,126.05,65.0,m,3.6,MINDANAO, PHILIPPINES
20260608_0000171,2026-06-08T07:44:56.0Z,5.15,125.27,144.0,m,3.7,MINDANAO, PHILIPPINES
20260608_0000176,2026-06-08T07:47:44.0Z,5.52,125.59,22.0,m,3.7,MINDANAO, PHILIPPINES
20260608_0000174,2026-06-08T07:51:46.0Z,5.5,125.4,10.0,m,3.6,MINDANAO, PHILIPPINES
20260608_0000181,2026-06-08T08:03:04.0Z,7.9,127.05,25.0,m,3.0,PHILIPPINE ISLANDS REGION
20260608_0000180,2026-06-08T08:04:28.0Z,5.33,126.07,8.0,m,3.7,MINDANAO, PHILIPPINES
20260608_0000197,2026-06-08T08:08:01.0Z,4.81,124.9,49.0,m,4.5,CELEBES SEA
20260608_0000182,2026-06-08T08:13:43.56Z,5.3605,125.0656,57.0,mb,5.3,MINDANAO, PHILIPPINES
20260608_0000187,2026-06-08T08:17:19.0Z,4.63,125.33,16.0,m,3.5,KEPULAUAN SANGIHE, INDONESIA
20260608_0000186,2026-06-08T08:20:29.0Z,5.15,125.87,37.0,m,3.3,MINDANAO, PHILIPPINES
20260608_0000185,2026-06-08T08:23:24.0Z,5.15,125.36,28.0,m,4.0,MINDANAO, PHILIPPINES
20260608_0000192,2026-06-08T08:35:16.0Z,5.71,125.72,10.0,m,3.5,MINDANAO, PHILIPPINES
20260608_0000196,2026-06-08T08:40:43.0Z,5.4,125.62,5.0,m,3.6,MINDANAO, PHILIPPINES
20260608_0000203,2026-06-08T08:43:53.0Z,5.66,125.38,22.0,m,3.0,MINDANAO, PHILIPPINES
20260608_0000200,2026-06-08T08:45:57.0Z,5.52,126.57,10.0,m,3.6,MINDANAO, PHILIPPINES
20260608_0000202,2026-06-08T08:47:34.0Z,9.89,124.15,6.0,m,3.1,BOHOL, PHILIPPINES
20260608_0000199,2026-06-08T08:50:18.0Z,5.06,125.76,10.0,m,3.5,MINDANAO, PHILIPPINES
20260608_0000205,2026-06-08T09:04:54.0Z,4.35,125.86,23.0,m,3.3,KEPULAUAN SANGIHE, INDONESIA
20260608_0000209,2026-06-08T09:17:23.45Z,4.9464,125.3424,35.0,mb,5.6,KEPULAUAN SANGIHE, INDONESIA
20260608_0000212,2026-06-08T09:23:22.0Z,5.46,125.04,16.0,m,3.0,MINDANAO, PHILIPPINES
20260608_0000211,2026-06-08T09:28:33.55Z,4.7919,125.4385,65.0,mb,5.1,KEPULAUAN SANGIHE, INDONESIA
